优先级,点赞,作者,作者粉丝,赞粉比,发布时间,标题,命中关键词,入选理由,链接
15,3302.0,养多多多（千万不要看我橱窗）,3670,0.9,,闺蜜把所有面膜都给我了 #闺蜜 #面膜 #剪映,面膜,低粉高赞(3670粉拿3302赞)；官方低粉爆款；高完播,https://www.douyin.com/video/7685382912191038449
16,8362.0,呆泪系,16332,0.512,,我换了很多洗面奶 用的最多的还是这个维她白 毫不夸张 我皮肤这么好全靠它！！#好皮肤#甜妹#抗氧#美白洗面奶#维她白美白洗面奶,洗面奶,低粉高赞(16332粉拿8362赞),https://www.douyin.com/video/7685307857218749041
17,428824.0,乌乌Woozzz,3776784,0.114,,ASMR 当重度洁癖人来做深度清洁（单王拿下） #asmr#场景模拟#剧情#乌乌Woozzz#慕拉得超升小脸弹面膜,面膜,,https://www.douyin.com/video/7685435880646987023
18,2795.0,星星鱼,3114,0.898,,跟风买了这个很火的烟酰胺蚕丝皂！不仅好用还好玩！泡沫丰富还绵密而且一点也不紧绷！#洁面日常 #蚕丝皂洗脸 #烟酰胺#护肤 #学生党好物推荐,烟酰胺,低粉高赞(3114粉拿2795赞)；官方低粉爆款,https://www.douyin.com/video/7685960285896009445
19,4777.0,一只大余,10690,0.447,,怪不得那么多人都在打卡这个 #buv洗面奶#蔡徐坤#大学生护肤 #控油清洁洗面奶#三角洲行动,洗面奶,低粉高赞(10690粉拿4777赞)；官方低粉爆款,https://www.douyin.com/video/7685330189161325425
20,4410.0,小小樱公主,9599,0.459,,开学典礼let'sgo! #化妆分享#letsgo#高能剪辑#DrG滤镜防晒#防晒霜,防晒霜,低粉高赞(9599粉拿4410赞)；官方低粉爆款,https://www.douyin.com/video/7685379652492681851
21,6595.0,大庆,43549,0.151,,洗澡遇见碎嘴子、直接聊红温了 #碎嘴子 #搞笑 #超能演剧场2026 #伦敦合伙人 #薇诺娜特护面膜,面膜,低粉高赞(43549粉拿6595赞)；官方低粉爆款,https://www.douyin.com/video/7685945683622300982
22,2681.0,陈陈chq,3358,0.798,,积雪草气垫 #少女心美妆小物 #平价好物 #积雪草气垫霜 #积雪草气垫 #气垫推荐,积雪草,低粉高赞(3358粉拿2681赞)；官方低粉爆款,https://www.douyin.com/video/7685019375708068579
23,3820.0,契肌,7602,0.502,,美容白醋液这样用 #日常护肤记录 #护肤技巧分享 #护肤干货 #好物推荐🔥 #美容白醋洗脸,护肤干货,低粉高赞(7602粉拿3820赞)；官方低粉爆款,https://www.douyin.com/video/7686396143915414139
24,5229.0,小橘子(梨涡版),19170,0.273,,香香软软的宝宝拍着拍着就长大了#袋鼠妈妈小暖霜 #萌娃 #儿童面霜 #宝宝护肤,面霜,低粉高赞(19170粉拿5229赞)；官方低粉爆款,https://www.douyin.com/video/7685731360846353083
25,2204.0,就不吃花生,3167,0.696,,王橹杰香水什么味道洗面奶什么味道 张桂源全都知道,洗面奶,低粉高赞(3167粉拿2204赞)；官方低粉爆款；高赞率,https://www.douyin.com/video/7686852345086569610
26,4606.0,美颜坊护肤品旗舰店,16482,0.279,,面霜+精华+水乳，一瓶多用的抗皱面霜，满脸皱纹救星的老国货，送给妈妈们的礼物！,抗皱面霜,低粉高赞(16482粉拿4606赞)；官方低粉爆款,https://www.douyin.com/video/7685562680752540954
27,250924.0,周八,1555279,0.161,,我用几根钢管在房东家做了个摩天轮床 #改造#膜法世家二裂酵母面膜 #旧房改造#房间改造,面膜,,https://www.douyin.com/video/7685708163643953807
28,2908.0,猪猪蕾,7669,0.379,,回复 @小可的评论 好多姐妹在评论问我用什么身体乳✨我用的是韩宜泉身体乳！质地润但不黏糊糊，涂完不会粘被子，淡淡的香。秋冬皮肤干燥、想提亮肤色的可以试试，平价大碗。#韩宜泉身体乳 #身体乳推荐 #秋冬护肤 #平价身体乳#嘉桐摇,身体乳,低粉高赞(7669粉拿2908赞)；官方低粉爆款；高赞率,https://www.douyin.com/video/7687101000674819697
29,2182.0,兜有米,3028,0.721,,当我开始用童颜纪提拉面膜… #童颜纪提拉面膜 #提拉面膜 #下颌线,面膜,低粉高赞(3028粉拿2182赞)；官方低粉爆款,https://www.douyin.com/video/7685749653094906533
30,4434.0,噜噜晓,23473,0.189,,到底是哪个大聪明发明的这个可以喷的身体乳香氛喷雾～对象狂贴我啊!!#女孩子就是要香香的#精致女人必备#香氛身体乳推荐#秋冬必备#无限回购的宝藏单品,身体乳,低粉高赞(23473粉拿4434赞)；官方低粉爆款,https://www.douyin.com/video/7685581702505171363
31,4773.0,爱炫点美食,45918,0.104,,参水和姜黄面膜 #美妆#护肤品#爱自己#人参,面膜,低粉高赞(45918粉拿4773赞)；官方低粉爆款,https://www.douyin.com/video/7686420845379784166
32,2585.0,相宜本草官方旗舰店洁面直播间,7014,0.369,,官宣新朋友！全新联名周边惊喜上线！一⌨三连，在下方留言分享你的“宣言”！#相宜本草 #相宜本草官方旗舰店 #相宜本草面膜 #相宜本草洁面 #面膜,面膜,低粉高赞(7014粉拿2585赞)；官方低粉爆款；高赞率,https://www.douyin.com/video/7685667458556049636
33,204574.0,孙嘉阳,1019919,0.201,,轮到自己，那些偏方全不管用了 #一人分饰多角  #重组家庭  #李艳和春琴#丸美胶原水乳Pro,水乳,,https://www.douyin.com/video/7685265484459167017
34,3371.0,一只大余,10690,0.315,,谁懂啊！！！#烟酰胺蚕丝皂 #仙女必备 #夏日必备 #约会神器 #万万没想到,烟酰胺,低粉高赞(10690粉拿3371赞)；官方低粉爆款,https://www.douyin.com/video/7686846021838000369
35,3978.0,牛肉包（增肌中）,7791,0.511,,新时代生存套餐是Codex+薄肌＋自媒体+孙学+不能说违规+拿实体黄金+早C晚A护肤方案＋控糖饮食＋睡满8小时+加伪素颜+运动员+雅思7.0#男性 #男性提升#薄肌#打造薄肌3,早C晚A,低粉高赞(7791粉拿3978赞),https://www.douyin.com/video/7685808011013066427
36,2070.0,木^木,3217,0.643,,回复 @momo🍈的评论 不带货哈，可以自己去搜，我每天早晚都用，用了1个月感觉皮肤都变好了，素颜出门经常被夸，宝可以试试#肤泊漫洗面奶#护肤,洗面奶,低粉高赞(3217粉拿2070赞)；官方低粉爆款,https://www.douyin.com/video/7687153450760649890
37,2113.0,营养师阿米,3409,0.62,,35-45女性必听，抓住这十年抗老黄金期 35~45 岁是女性围绝经前的关键抗老窗口期，  雌激素波动下降带来的代谢变慢、骨量流失、精力下降等问题，都可以通过科学干预提前建立储备。  本期内容拆解肌肉抗老的底层逻辑，澄清瑜伽、普拉提的抗老局限，  给出可落地的蛋白质、钙与维生素 D 摄入标准，以及顺应生理周期调整训练强度的实用方法，  帮你在黄金十年攒好代谢与骨量底气，平稳应对更年期。  #如何保持中年活力 #中年女性健康 #围绝经期 #35岁女性如何抗衰老 #40岁女性,抗老,低粉高赞(3409粉拿2113赞)；官方低粉爆款,https://www.douyin.com/video/7686038169981037498
38,210092.0,咪的妙脆角,2629273,0.08,,美味的我｜妙脆维修误闯婚礼当花童的一天！#萌宠出道计划 #妙脆角小猫 #修理猫  #治愈#OLAY超红瓶面霜,面霜,,https://www.douyin.com/video/7686054885523145082
39,174482.0,阿尔忒弥斯美伢,4733199,0.037,,晚霞与你 #可复美#重组胶原蛋白#可复美超透棒#次抛精华#护肤,胶原蛋白,高赞率,https://www.douyin.com/video/7686155138521103720
40,2883.0,小爱同学（养成系）,8534,0.338,,美式甜心妆超详细妆教 速学速学#美式甜心妆 #欧美妆 #黄黑皮妆容 #新手化妆教程 #全妆跟练,黄黑皮,低粉高赞(8534粉拿2883赞)；官方低粉爆款,https://www.douyin.com/video/7686171728304689115
