排名,账号,类型,粉丝,均赞,最高赞,赞粉比,量级分层,赛道出现次数,美妆占比,爆款率,怎么用,命中关键词,最有代表性的一条
33,A猪饲料批发贺总,达人号,12885,1716.0,2263.0,0.1332,甜蜜区,2,,,,洗面奶/痘印/祛痘精华,2263.0赞 简直神来的 终于找到我的人生祛痘精华了#肤泊漫祛痘精华#祛痘#祛痘淡化痘印
34,姜姜好,达人号,23868,2849.0,2849.0,0.1194,甜蜜区,1,,,,面霜,2849.0赞 #有色面霜 #伪素颜 #素颜霜 #自用分享 #学生党好物推荐
35,黎清水,达人号,27462,149.6,531.0,0.0054,甜蜜区,5,,,,痘印/眼霜/面膜,531.0赞 后悔没早点发现你。。#植物大师祛痘膏 #痘印怎么消除 #痘痘逆袭 #素颜 #变美逆袭
36,灌云依思佩尔祛痘王莉,达人号,21244,990.0,2959.0,0.0466,甜蜜区,3,,,,痘印,2959.0赞 #灌云王莉#灌云依思佩尔#苗垹#痘印痘坑#黑头
37,肖肖姐,达人号,18127,1988.0,1988.0,0.1097,甜蜜区,1,,,,面膜,1988.0赞 凌晨12宝宝还不想睡熬夜那就涂点免洗面膜 #绝色熬夜闪充面膜
38,泡泡❄️,达人号,12920,1970.0,1970.0,0.1525,甜蜜区,1,,,,洗面奶,1970.0赞 女大学生晚间沉浸式护肤vlog 清洁是护肤的第一步，好好洗脸才能有好皮肤#vlog#我的日常vlog#女大学生#宿舍#理致小双管洗面奶
39,一颗李李,达人号,27187,399.5,1444.0,0.0147,甜蜜区,4,,,,毛孔粗大/水乳/洗面奶/积雪草,1444.0赞 #eiio洗面奶 真的只有零次和无数次，姐妹们素颜出门的快乐谁懂啊#eiio好气色洗面奶 #洗面奶 #洗面奶推荐
40,爱炫点美食,达人号,45918,3169.5,4773.0,0.069,甜蜜区,2,,,,面膜,4773.0赞 参水和姜黄面膜 #美妆#护肤品#爱自己#人参
41,越来越好的小刘,达人号,222885,1565.0,1565.0,0.007,甜蜜区,1,,,,美妆博主,1565.0赞 Seoul vlog｜美美day #韩国 #美妆博主养成系 #江南 #日常分享 #首尔
42,莉娜在欧洲,达人号,25817,262.5,729.0,0.0102,甜蜜区,4,,,,修护精华/毛孔粗大/水杨酸/烟酰胺/痘印/神经酰胺/面霜,729.0赞 #真实生活分享计划   VC提亮面霜💛  主要帮助提亮肤色、改善暗沉发黄、肤色不均、痘印和色素沉着，坚持使用让皮肤看起来更加透亮有光泽✨。  🌙 建议只在晚上使用：洁面后薄薄涂一层就可以，不需要涂太厚。 🌞 第二天一定要认真做好防晒，这个很重要哦🥰💛  #护肤  #提亮肤色 #改善暗沉 #淡化痘印
43,蕾紫,达人号,10471,638.0,1095.0,0.0609,甜蜜区,2,,,,面膜,1095.0赞 青苹果面膜我们宣你 #面膜 #童颜纪
44,画梅椰子水,达人号,36784,2240.0,3951.0,0.0609,甜蜜区,2,,,,毛孔粗大/精简护肤,3951.0赞 皮肤干到起皮，精简护肤搭配 #画梅 #画梅推荐 #屏障修护 #敏肌修护 #敏肌护肤
45,人间烟火,达人号,132360,5052.2,18912.0,0.0382,甜蜜区,4,,,,胶原蛋白/面膜,18912.0赞 #王源客厅狂欢巡回演唱会  #王源王源王源王源王源王源王源王源王源王源  #王源给我涂面膜
46,用户753310343115,达人号,56026,5800.0,7957.0,0.1035,甜蜜区,2,,,,面膜,7957.0赞 #王源客厅狂欢巡回演唱会  #王源给我涂面膜
47,皮小蛋🍃,达人号,19579,2651.0,2651.0,0.1354,甜蜜区,1,,,,洗面奶,2651.0赞 Ი ᰍ ݃ ݁ᣟ݂ #lummi洁面慕斯 #女大 #洗面奶
48,成都脸纪💦水汪汪@梅梅,达人号,39295,575.8,1754.0,0.0147,甜蜜区,5,,,,皮肤管理,1754.0赞 小店不大主打一个安静 我亲自给你洗脸可以吗 #美业老板娘 #美业手艺人  #洗脸护肤#皮肤管理#成都
49,大橘子,达人号,10403,869.0,869.0,0.0835,甜蜜区,1,,,,烟酰胺/面霜,869.0赞 #抗氧 还得是尊蓝男士面霜，就这个#尊蓝烟酰胺面霜  一用一个不吱声！#男生护肤品 #男生补水好物 #男生变帅攻略
50,暖洋洋～,达人号,14066,1831.0,1831.0,0.1302,甜蜜区,1,,,,皮肤管理,1831.0赞 晒黑了…… #我的美容日记 #皮肤管理 #做脸的一天
51,臭屁虫,达人号,286300,36590.0,36590.0,0.1278,甜蜜区,1,,,,洗面奶,36590.0赞 每天都有乖乖洗脸#c咖洗面奶
52,梨梨学姐,达人号,10695,501.5,911.0,0.0469,甜蜜区,2,,,,洗面奶/身体乳,911.0赞 建议地球上所有人洗脸不干净的都人手这个#韩束黑茶洗面奶 好用又划算啊！#洗面奶 #温和清洁 #韩束 #无限回购的宝藏单品
53,肥肠老大,达人号,11282,546.0,799.0,0.0484,甜蜜区,2,,,,身体乳,799.0赞 谁懂啊！！ #漂粉霜#身体乳#日本好物分享#约会#看到最后
54,亲爱的理理,达人号,26576,2094.0,2094.0,0.0788,甜蜜区,1,,,,洗面奶,2094.0赞 她静悄悄的改变...  #护肤 #控油祛痘 #好皮肤养出来  #洗面奶
55,橙橙呀,达人号,12984,543.0,929.0,0.0418,甜蜜区,2,,,,面霜/黄黑皮,929.0赞 黄黑皮的宝子你就去用这个#377面霜 真的一用一个不吱声!!#护肤分享#好皮肤养出来#面霜#无限回购的宝藏单品
56,江孜～琼卓玛小号二👨‍👩‍👦‍👦,达人号,27418,486.3,626.0,0.0177,甜蜜区,3,,,,眼霜/防晒霜,626.0赞 【奥色木虫草眼霜】眼皮松垮眼袋抗皱淡化细纹提拉紧致
57,稚护小气泡黑头仪,达人号,73185,1085.8,20578.0,0.0148,甜蜜区,21,,,,毛孔粗大/闭口粉刺,20578.0赞 大数据它懂你的小心思，有#黑头粉刺和#毛孔粗大的宝子赶快行动起来！皮肤变好颜值蹭蹭往上涨！#气泡仪#好物推荐
58,辉艳做白日梦咯,达人号,31310,2192.0,2192.0,0.07,甜蜜区,1,,,,面膜,2192.0赞 谁家摊上这么一个公公家里都会变得鸡飞狗跳，一大家人都得听他的才好#婚后生活vlog #爸宝男 #ell水光面膜
59,锦鲤娱小圈,达人号,95549,24465.0,24465.0,0.256,甜蜜区,1,,,,面膜,24465.0赞 郭柯宇：跑过网约车、卖过面膜，租房子住 #郭柯宇 #be美学
60,童颜纪美妆旗舰店,品牌号,28566,234.0,613.0,0.0082,甜蜜区,3,,,,护肤干货/面膜,613.0赞 平价也能拥有好护肤搭子，童颜纪青苹果面膜控油补水双在线，日常囤货完全不心疼~#平价好物 #分享爱用物 #好物测评 #面膜推荐 #童颜纪
61,泽妈的日常,达人号,11472,343.5,682.0,0.0299,甜蜜区,2,,,,皮肤暗沉/面膜,682.0赞 爱惨了这个白番茄面膜‼️#童颜纪白番茄面膜 #面膜 #护肤 #白番茄 #强烈推荐
62,鱼板,达人号,144866,35634.0,35634.0,0.246,甜蜜区,1,,,,美妆博主,35634.0赞 #乡村支教 #校园vlog #美术老师#美妆博主
63,小卢要努力呀,达人号,31823,1848.0,1848.0,0.0581,甜蜜区,1,,,,面膜,1848.0赞 努力工作才能更好的生活#进厂上班#vlog日常 #00后工厂打工#欧诗漫美白淡斑面膜
64,雪梨鸭,达人号,12418,694.0,694.0,0.0559,甜蜜区,1,,,,洗面奶,694.0赞 爱熬夜爱吃甜食脸油脸暗脸不亮的快试试这款#eiio抗氧洗面奶 #提亮肤色改善暗沉 #素颜 #洗面奶推荐 #护肤
65,吉祥主播,达人号,48680,2466.0,2466.0,0.0507,甜蜜区,1,,,,面膜,2466.0赞 #保养跟不保养的区别 #洗漱敷面膜 #保养是给自己最好的投资 财源滚滚来
66,我炸炸你,达人号,23383,2267.0,2267.0,0.097,甜蜜区,1,,,,洗面奶,2267.0赞 宝宝们 你们自己去搜叭，我军训这段时间一直用的是维她白抗氧洗面奶，因为我很懒不想每次在脸上涂一大堆，这个每次洗完脸都软软嫩嫩的，一整天都特别亮#维她白美白洗面奶#抗氧#军训#大一
67,王帅（生活号）,达人号,39089,744.5,848.0,0.019,甜蜜区,2,,,,毛孔粗大/面膜,848.0赞 经常熬夜皮肤干燥缺水暗黄的，一定要去试试这个#睡眠面膜 补水保湿，紧致肌肤淡化细纹，提亮肤色改善暗沉#免洗睡眠面膜 #补水保湿 #提亮肤色 #面膜推荐
68,小芝麻爱唠叨,达人号,33899,525.0,1043.0,0.0155,甜蜜区,2,,,,身体乳,1043.0赞 #宝玑米 #身体乳#宝玑米冷霜
69,BUV官方旗舰店油皮护肤,品牌号,18795,275.0,546.0,0.0146,甜蜜区,2,,,,洗面奶/闭口粉刺,546.0赞 谁不喜欢一张干净的脸呢? 试试这款控油洗面奶，好使~插秧脸和大油田赶紧码住~#BUV绿泥洗面奶 #控油 #黑头 #防晒  #BUV你的控油实力派
70,麒麟二番榨（和粉丝虐恋中）,达人号,32743,2847.0,2847.0,0.0869,甜蜜区,1,,,,防晒霜,2847.0赞 缘似茉莉落雨 浅吟莫离之雨 #古风 #骆驼绿三角防晒霜 #骆驼素颜美白防晒霜 #王一博骆驼防晒霜
71,呆呆酱,达人号,15527,1349.0,1349.0,0.0869,甜蜜区,1,,,,水杨酸,1349.0赞 回复 @Hahaha：）的评论 其实我很少花费心思在护肤上，只是习惯做好清洁，我一直用的是芦卡肤洁面慕斯。我的皮肤还挺爱出油的，尤其是现在换季不稳定容易冒痘，这个里边添加了水杨酸+PCA锌，洗得干净不假滑，想要温和控油维稳的，这个可以试试看。#洗面奶推荐 #祛痘控油 #第52次取消发送 #楚楚编舞#卢卡肤祛痘洗面奶
72,虞美人会长徒弟刘昱辰,达人号,33594,323.5,644.0,0.0096,甜蜜区,2,,,,美业创业,644.0赞 敛财过亿后，挥霍无积蓄。 #虞美人刘昱辰 #女性成长 #美业创业 #情感共鸣 #美容院
73,想我你要告诉我呀,达人号,49774,3813.0,3813.0,0.0766,甜蜜区,1,,,,面霜,3813.0赞 被爱的话 素颜你也会夸我漂亮#芷豆豆豆霜#油痘肌面霜#逆袭
74,朱牛牛,达人号,32101,896.0,896.0,0.0279,甜蜜区,1,,,,护肤干货,896.0赞 保姆级晒后修护！ 涵盖军训，海边、沙漠、练车，所有极端暴晒环境 覆盖每个阶段的处理方式和护肤方法 全都是实测过的！#护肤干货分享 #晒后修护 #军训 #军训护肤 #美白
75,雅美皮肤管理中心,达人号,19937,553.0,553.0,0.0277,甜蜜区,1,,,,皮肤管理,553.0赞 #皮肤管理师的初心 #专业的美容师 #专业美容师 #建立自己的保养逻辑 #皮肤管理师使命
76,李宝剑今天买什么💅🏻,达人号,30326,807.0,807.0,0.0266,甜蜜区,1,,,,面膜,807.0赞 Fanbeauty 面膜全家福尝鲜，但是一个ID只能抢两单，库存就这一波，刷到还显示能拍，闭眼冲～#懒人护肤 #fanbeauty #fanbeauty面膜
77,Mxs,达人号,23179,1663.0,1663.0,0.0717,甜蜜区,1,,,,痘印,1663.0赞 男生把脸上瑕疵痘印遮一下，干干净净的真的很帅呀。#板正#男生化妆 #男士遮瑕 #酷男笔记遮瑕棒#素颜棒
78,超多烦恼,达人号,28244,649.0,649.0,0.023,甜蜜区,1,,,,面霜,649.0赞 皮肤干干净净 真的很加分#袋鼠妈妈小暖霜#儿童面霜#护肤
79,科学护肤闫博士,专业号,273416,2048.2,10579.0,0.0075,甜蜜区,8,,,,护肤干货/胶原蛋白/闭口粉刺/面膜,10579.0赞 敷面膜刺痛是在补水？别傻了！！ #面膜 #补水保湿 #痘痘闭口粉刺 #美白
80,属七先生,达人号,37847,798.0,798.0,0.0211,甜蜜区,1,,,,水乳,"798.0赞 殷承宗：黄河协奏曲全解 钢琴协奏曲《黄河》早已超越了“一部钢琴作品”的范畴。它是世界上传播最广的中国钢琴协奏曲之一，被海外评论家誉为“最杰出的作品”。殷承宗带着这部作品走遍世界，演奏上千场，他的艺术生命与这部作品已经水乳交融。
殷承宗说：“《黄河》它已经超出了抗战的精神，它实际上象征了中华民族的精神，中华民族的崛起，中华民族五千年来一种拼搏的精神、敢于斗争敢于胜利的精神，所以它保留至今。”
从鼓浪屿的琴童到世界舞台上的钢琴家，从黄河岸边的纤绳到人民大会堂的掌声，殷承宗用大半生的时间，在黑白键上凿开了一条奔涌的河流。这条河流的名字，叫黄河。而它的涛声，至今仍在每一双触碰琴键的手中，轰然作响。
#抖音精选app征稿中 #抖音精选App新声季 #抖音音乐客厅 #黄河 #黄河协奏曲"
81,晶菁亮智慧服务,达人号,53600,407.0,961.0,0.0076,甜蜜区,3,,,,抗皱面霜/眼霜/面霜,961.0赞 #社会百态#眼霜#胶原玻色因眼霜#护肤
82,是可可吖✨,达人号,35137,670.0,670.0,0.0191,甜蜜区,1,,,,身体乳,670.0赞 自从有了它！我就再没用手涂过身体乳了！就是这个身体乳粉扑用过一次后你就会爱上它了！全程不脏手不吃乳液的！三两下就能搞定！真的是便宜又好用！#身体乳粉扑 #实用好物 #提升幸福感好物 #身体乳扑子
83,楠楠楠楠方-,达人号,15129,957.0,957.0,0.0633,甜蜜区,1,,,,黄黑皮,957.0赞 回复 @小小怪下士的评论 没用美白产品哈宝子们自己去搜就行，我一直用的#贝芙丝家的沐浴露，不知不觉真的白了很多，香味感觉有种大牌香水的味道，想变白的宝宝可以试试#清纯#沐浴露#变白#黄黑皮
84,雨行,达人号,19392,1182.0,1182.0,0.061,甜蜜区,1,,,,水乳/洗面奶,1182.0赞 以前我总以为洗面奶都差不多，直到用了这个cos抗氧洗面奶才发现，原来洗面奶不仅可以清洁还能改善面部暗沉，主要是用这个洗完脸不干反而有点滋润，化妆前不用涂水乳上妆就很服帖！！虽然都是洗脸，差别还是挺大的！#好物分享  #cos抗氧洗面奶#蜡黄暗沉  @코스힐 COSHEAL海外旗舰店
85,韩束KANS MEN男士护肤官方直播间,品牌号,166262,168.6,2727.0,0.001,甜蜜区,72,,,,毛孔粗大/洗面奶,2727.0赞 低成本变帅!鼻子黑头扎根?显脏显油?洗面奶一样能搞定!!
86,BUV护肤专场,达人号,73389,159.0,771.0,0.0022,甜蜜区,10,,,,洗面奶,771.0赞 【送正装 仅一天】养出婴儿肌男女通用BUV绿泥洗面奶
87,韩束洗护官方旗舰店精华号,品牌号,129581,57.2,665.0,0.0004,甜蜜区,20,,,,精华液,665.0赞 一开始我也不信！直到我用了#韩束头皮精华液 #头皮护理#头皮精华 #掉发
88,韩束化妆品专卖店,品牌号,414444,420.0,4255.0,0.001,甜蜜区,25,,,,水乳,4255.0赞 但凡你早点知道这个#国货 也不至于被斑点皱纹黑黄皮困扰这么多年#精华水乳#美白淡斑
89,自然堂官方美白喷雾直播间,品牌号,202603,173.8,2150.0,0.0009,甜蜜区,34,,,,护肤步骤/毛孔粗大/水乳/烟酰胺/痘印/精简护肤/美白精华/面膜/黄黑皮,2150.0赞 秋冬不想每天叠加一堆护肤步骤？自然堂VC美白喷雾，把美白直接加入每天的护肤流程
90,效妆护肤旗舰店,品牌号,71032,55.8,810.0,0.0008,甜蜜区,88,,,,毛孔粗大/水杨酸/闭口粉刺/面膜,810.0赞 但凡你早点知道这个，也不至于被#黑头闭口 #毛孔粗大 困扰这么多年！原来素颜掐出水是这种感觉 #效妆光感面膜
91,南方医大彭博士（禾贝祛痘专家）,专业号,137290,104.7,818.0,0.0008,甜蜜区,33,,,,洗面奶/痘印,818.0赞 孩子青春期长痘！禾贝祛痘洗面奶，温和控油清闭口 #禾贝祛痘洗面奶 #青春期护肤
92,韩束KANS身体护理官方直播间,品牌号,321882,114.7,1900.0,0.0004,甜蜜区,62,,,,烟酰胺/美白精华/身体乳/黄黑皮,1900.0赞 淡淡花果香超治愈！韩束身体乳美白保湿 中秋睡前涂连梦都是香的#治愈香氛 #韩束 #美白保湿身体乳 #睡前护肤 #中秋好物
93,希希sci✈️9.19-9.20品牌清货,达人号,94973,164.2,545.0,0.0017,甜蜜区,17,,,,屏障受损/皮肤管理,545.0赞 35+熟龄肌，离不开的就是颜骨炮 #皮肤管理 #干皮 #垮脸 #屏障受损
94,善善,达人号,385399,141.0,612.0,0.0004,甜蜜区,13,,,,毛孔粗大/洗面奶/痘印/精华液/精简护肤/面霜,612.0赞 爱熬夜脸油脸暗脸不亮的快试试这款#美白洗面奶#提亮肤色改善暗沉#素颜#洗面奶推荐#护肤
95,百雀羚官方胶原水光膜直播间,品牌号,373052,139.8,669.0,0.0004,甜蜜区,10,,,,抗老/面膜,669.0赞 百雀羚95周年庆就在今天，百雀羚胶原水光面膜大破价只要39.9！#百雀羚
96,韩束护肤旗舰店直播间,品牌号,253292,106.8,559.0,0.0004,甜蜜区,8,,,,修护精华/抗老/面膜,559.0赞 80支PDRN次抛，抗皱提拉双在线！ #韩束  #次抛  #抗老
97,韩束护肤直播,达人号,297576,180.1,680.0,0.0006,甜蜜区,22,,,,护肤干货/毛孔粗大/洗面奶/皮肤暗沉/闭口粉刺/黄黑皮,680.0赞 黑头闭口粉刺多？韩束小绿泥洗面奶，亚马逊白泥清洁，毛孔全变样 #韩束 #洗面奶#中秋
98,EIIO奕沃美妆旗舰店,品牌号,238031,43.7,750.0,0.0002,甜蜜区,64,,,,毛孔粗大/洗面奶/皮肤暗沉,750.0赞 越洗越亮的洗面奶，谁懂啊 #eiio好气色抛光洗面奶#护肤#抗氧
99,小怡佳,达人号,66200,3686.0,3686.0,0.0557,甜蜜区,1,,,,护肤教程,3686.0赞 大美女感很重的好皮肤护肤教程！！无广无美颜无滤镜 妮儿 跟练就行#变美 #日常唠嗑 #女王
100,Lyy,达人号,12840,692.0,692.0,0.0539,甜蜜区,1,,,,水乳,692.0赞 回复 @认蒸你就熟了的评论 宝宝们你们自己去搜吧 一直用的是维她白抗氧水乳，因为我很懒不想每次在脸上涂一大堆，这个每次用完脸都软软嫩嫩的.一整天都特别亮#手势舞#抗氧#美白水乳#护肤
101,Lu.xuan,达人号,13552,720.0,720.0,0.0531,甜蜜区,1,,,,洗面奶,720.0赞 终于找到我的人生洗面奶啦 #抗氧#女高#手势舞#护肤#维她白美白洗面奶
102,^林林^,达人号,10054,546.0,546.0,0.0543,甜蜜区,1,,,,洗面奶,546.0赞 谢谢，我要这个#afae抗氧洗面奶，
103,颠🐒,达人号,45884,2213.0,2213.0,0.0482,甜蜜区,1,,,,洗面奶,2213.0赞 渴望白是少女时代的淤青 #afae抗氧洗面奶#护肤#变白
104,小缘.,达人号,57220,2271.0,2271.0,0.0397,甜蜜区,1,,,,面霜,2271.0赞 上天入地我再也找不到这么好用的面霜了！#芷豆豆豆霜#护肤#甜妹#一件穿出美女感 #甜妹舞蹈穿搭 @抖音创作灵感
105,宝藏男孩,达人号,79694,571.9,2485.0,0.0072,甜蜜区,7,,,,美容师培训,2485.0赞 不对称的看这里 #宠物美容师 #宠物店 #宠物美容师培训 #雪纳瑞
