排名,痛点词,热度,关联视频数,互动量,曝光量,关联销量
239,脱妆暗沉,0.05,2,2167,100w+,2119
240,拔干紧绷,0.05,2,1136,27w+,1475
241,妆面廉价,0.05,2,2018,31w+,1226
242,眼线晕染,0.05,2,697,30w+,1170
243,吸水分,0.05,2,1711,14w+,1151
244,搓泥,0.05,2,4764,40w+,1142
245,做双眼皮,0.05,2,2464,16w+,1121
246,瑕疵斑点,0.05,2,1144,22w+,1109
247,手撕嘴皮,0.05,2,1672,50w+,1086
248,妆面粗糙,0.05,2,1348,27w+,1042
249,皮肤油黑,0.05,2,2484,9.9w+,993
250,皮肤垮,0.05,2,628,3600+,979
251,定妆白忙活,0.05,2,1329,100w+,934
252,缺水干燥,0.05,2,461,8.4w+,914
253,不卫生,0.05,2,796,15w+,856
254,显毛孔,0.05,2,1019,6.9w+,827
255,眼线晕妆,0.05,2,601,27w+,819
256,眼周显老,0.05,2,1150,47w+,765
257,皮肤不吸收,0.05,2,793,16w+,761
258,熊猫眼,0.05,2,3228,72w+,749
259,毛孔明显,0.05,2,803,17w+,739
260,黑头白头,0.05,2,1239,39w+,737
261,不掉色,0.05,2,2911,10w+,723
262,刷成苍蝇腿,0.05,2,1088,27w+,683
263,抠抠搜搜,0.05,2,1230,-,674
264,不沾杯,0.05,2,974,-,672
265,草莓鼻,0.05,2,1653,25w+,647
266,平时抠搜,0.05,2,1004,25w+,634
267,角质堆积,0.05,2,447,-,596
268,无气色,0.05,2,1074,16w+,575
269,脸粗糙,0.05,2,1035,11w+,574
270,粉刺,0.05,2,1289,3.7w+,562
271,眼线卡顿,0.05,2,855,29w+,562
272,暴汗脱妆,0.05,2,1321,22w+,505
273,种睫毛贵,0.05,2,270,8.5w+,498
274,有闭口,0.05,2,1612,4.1w+,480
275,长痘留印,0.05,2,1039,-,467
276,妆容掉,0.05,2,544,-,460
277,氧化暗沉,0.05,2,592,7.4w+,459
278,妆面显脏,0.05,2,859,24w+,456
279,皮肤黑黄,0.05,2,285,-,453
280,正装贵,0.05,2,112,2.4w+,445
281,油脂堆积,0.05,2,1029,-,443
282,红红敏敏,0.05,2,126,12w+,437
283,油脂性闭口,0.05,2,1161,100w+,431
284,瑕疵暗沉,0.05,2,3631,2700+,423
285,干裂,0.05,2,375,2.9w+,414
286,用力过猛,0.05,2,744,-,414
287,痘痘问题,0.05,2,1105,14w+,413
288,不自信,0.05,2,65,-,407
289,库存少,0.05,2,503,6.9w+,407
290,紧绷不拔干,0.05,2,1596,8.1w+,394
291,眼部松垮,0.05,2,1190,9.4w+,393
292,嘴唇干燥,0.05,2,500,-,380
293,长闭口,0.05,2,634,16w+,379
294,化妆麻烦,0.05,2,344,2.5w+,370
295,眉毛显老,0.05,2,516,22w+,367
296,大眼袋,0.05,2,1132,9.9w+,366
297,大毛孔,0.05,2,6546,3.2w+,359
298,长粉刺,0.05,2,207,6.3w+,359
299,嘴巴干燥,0.05,2,425,12w+,355
300,暗沉黄气,0.05,2,179,2900+,350
301,粗糙无光泽,0.05,2,571,16w+,343
302,眼部细纹,0.05,2,1113,9.4w+,340
303,嘴巴起皮,0.05,2,927,16w+,339
304,瑕疵重,0.05,2,1666,7.8w+,337
305,嘴唇干裂,0.05,2,524,6.1w+,336
306,双下巴,0.05,2,413,7.7w+,335
307,不咋护肤,0.05,2,610,-,335
308,不舍花钱,0.05,2,610,-,335
309,不想早起,0.05,2,400,22w+,333
310,手上黏黏,0.05,2,72,-,333
311,皮肤发黄,0.05,2,1404,56w+,331
312,胶笔易断,0.05,2,526,-,327
313,修容画不好,0.05,2,527,4.7w+,327
314,皮肤脏,0.05,2,332,7.4w+,325
315,舍不得买,0.05,2,249,7.9w+,325
316,脸上起皮,0.05,2,3804,14w+,320
317,洗不掉,0.05,2,1333,16w+,316
318,皮肤老,0.05,2,259,-,315
319,松垮暗沉,0.05,2,145,4.2w+,313
320,不敢对视,0.05,2,1067,1.5w+,312
321,川字纹多,0.05,2,472,3.4w+,310
322,抬头纹多,0.05,2,472,3.4w+,310
323,法令纹多,0.05,2,472,3.4w+,310
324,鱼尾纹多,0.05,2,472,3.4w+,310
325,舍不得,0.05,2,376,4.1w+,309
326,脸紧绷,0.05,2,2207,13w+,305
327,毛孔油脂,0.05,2,346,4.8w+,305
328,干燥粗糙,0.05,2,333,1.0w+,299
329,没光泽,0.05,2,303,2.7w+,297
330,嘴巴发乌,0.05,2,213,4.7w+,290
331,嘴巴干裂起皮,0.05,2,177,3.1w+,290
332,汗味,0.05,2,286,4.0w+,287
333,咬嘴皮子,0.05,2,337,15w+,287
334,眼尾下垂,0.05,2,465,-,284
335,手法不对,0.05,2,387,16w+,282
336,易脱妆,0.05,2,23064,9.5w+,281
337,脸上干,0.05,2,1308,10w+,281
338,气色差,0.05,2,183,1.4w+,280
339,吸收差,0.05,2,274,5500+,278
340,肤色暗淡,0.05,2,383,1.1w+,278
341,脸洗不干净,0.05,2,486,1.8w+,277
342,不服帖,0.05,2,460,8.1w+,276
343,熬夜暗黄,0.05,2,134,3.2w+,274
344,搓泥卡粉,0.05,2,621,1.3w+,272
345,洗不干净,0.05,2,360,-,272
346,颈纹加深,0.05,2,275,7.4w+,270
347,中庭长,0.05,2,348,-,266
348,嘴干起皮,0.05,2,353,5.6w+,266
349,泛红刺痛,0.05,2,9443,13w+,264
350,皮肤不亮,0.05,2,338,12w+,263
351,眉毛易掉,0.05,2,290,-,262
352,厚重假面,0.05,2,278,-,256
353,屏障受损,0.05,2,283,10w+,255
354,内眼线手抖,0.05,2,272,-,250
355,唇纹明显,0.05,2,167,6.5w+,249
356,眼部衰老,0.05,2,401,21w+,249
357,涂口红不好看,0.05,2,171,3.7w+,248
358,抠痘痘,0.05,2,291,-,241
359,眼纹,0.05,2,1391,250+,237
360,皮肤油,0.05,2,230,7900+,235
361,来不及化妆,0.05,2,331,4.2w+,229
362,容易脱妆,0.05,2,253,-,223
363,松垮下垂,0.05,2,159,6.4w+,223
364,眼周暗沉,0.05,2,232,3.7w+,221
365,屏障不稳,0.05,2,112,11w+,217
366,出油斑驳,0.05,2,79,1.4w+,214
367,脸黑,0.05,2,641,10w+,212
368,刮伤皮肤,0.05,2,201,11w+,211
369,小脸松垮,0.05,2,133,-,205
370,脸色无光泽,0.05,2,169,470+,202
371,支撑不住,0.05,2,704,4.9w+,201
372,爆皮,0.05,2,190,1.7w+,199
373,皮肤敏敏,0.05,2,315,10w+,199
374,黑眼袋,0.05,2,521,2.0w+,197
375,口角囊袋,0.05,2,1019,250+,193
376,黯淡无光,0.05,2,129,1.8w+,193
377,皮肤蜡黄,0.05,2,1156,41w+,192
378,动态纹,0.05,2,454,1.0w+,187
379,静态纹,0.05,2,454,1.0w+,187
380,结块苍蝇腿,0.05,2,737,-,187
381,气色不好,0.05,2,200,1.5w+,184
382,出油泛红,0.05,2,319,13w+,183
383,没时间护肤,0.05,2,319,13w+,183
384,掉色沾杯,0.05,2,482,2.6w+,181
385,废旧角质,0.05,2,169,19w+,177
386,脸爱出油,0.05,2,64,3.9w+,177
387,有斑,0.05,2,488,6.1w+,175
388,底妆暗沉发黄,0.05,2,270,3900+,175
389,色素,0.05,2,645,4.4w+,174
390,脸干燥,0.05,2,2272,10w+,174
391,黑头反复,0.05,2,316,-,174
392,小脸又黄又垮,0.05,2,185,-,174
393,松垮,0.05,2,148,1.1w+,171
394,脸老,0.05,2,561,1.8w+,171
395,粉刺多,0.05,2,226,2000+,170
396,无效妆容,0.05,2,574,2.1w+,170
397,长皱纹,0.05,2,96,1.6w+,169
398,化妆卡粉起皮,0.05,2,106,2.6w+,169
399,晕染脱妆,0.05,2,522,-,167
400,皮肤问题,0.05,2,350,2.6w+,164
401,显脏显假,0.05,2,190,5600+,161
402,黑眼圈重,0.05,2,331,6.3w+,161
403,干裂起皮,0.05,2,235,6.5w+,160
404,水油失衡,0.05,2,427,10w+,152
405,睫毛易掉,0.05,2,667,-,151
406,脸黄脸暗,0.05,2,232,14w+,151
407,熬夜多,0.05,2,244,4500+,150
408,脸干起皮,0.05,2,886,6.3w+,150
409,眼松眼垮,0.05,2,178,1.0w+,149
410,唇纹多,0.05,2,149,5.7w+,145
411,睫毛塌,0.05,2,77,-,142
412,不拔干,0.05,2,162,2.0w+,138
413,细纹干纹,0.05,2,11,2.8w+,136
414,暗黄暗沉,0.05,2,492,5.9w+,131
415,皮肤不好,0.05,2,512,5.9w+,128
416,眼皮松,0.05,2,147,8100+,127
417,黄气重,0.05,2,120,5300+,123
418,皮肤发红,0.05,2,244,1.9w+,123
419,浮粉卡粉,0.05,2,830,8.2w+,120
420,脸蜡黄,0.05,2,76,3.7w+,115
421,毛孔,0.05,2,431,2.4w+,112
422,小脸暗沉粗糙,0.05,2,319,1.2w+,106
423,卡粉重灾区,0.03,1,4653,150w+,9749
424,浪费粉底液,0.03,1,9666,220w+,9707
425,贴黑睫毛凶,0.03,1,6646,140w+,8166
426,眼部状态不好,0.03,1,4000,-,7636
427,显土,0.03,1,11323,200w+,5224
428,脸更肿,0.03,1,11323,200w+,5224
429,妆效不好,0.03,1,10118,160w+,4337
430,嘴巴难受,0.03,1,13108,330w+,4203
431,嘴巴有死皮,0.03,1,13108,330w+,4203
432,显脏发黄,0.03,1,2255,69w+,4082
433,寡淡无气色,0.03,1,2255,69w+,4082
434,怕夸张,0.03,1,10930,220w+,3996
435,怕拔干,0.03,1,10930,220w+,3996
436,暗沉痘印,0.03,1,6833,590w+,3340
437,深层未清理,0.03,1,6833,590w+,3340
438,肌肤不平,0.03,1,2210,110w+,3196
439,贴睫毛显凶,0.03,1,7745,80w+,3002
440,贴睫毛显老,0.03,1,7745,80w+,3002
441,印子发红,0.03,1,4000,84w+,2952
442,印子发黑,0.03,1,4000,84w+,2952
443,印子变深,0.03,1,4000,84w+,2952
444,素颜霜脏手,0.03,1,642,31w+,2909
445,不会画卧蚕,0.03,1,14580,110w+,2655
446,底妆不均,0.03,1,1,100+,2615
447,手套吃乳,0.03,1,504,27w+,2552
448,指甲缝黏,0.03,1,504,27w+,2552
449,滋生细菌,0.03,1,504,27w+,2552
450,用后难洗,0.03,1,504,27w+,2552
451,怕晕妆,0.03,1,3441,120w+,2330
452,眼线易断,0.03,1,3441,120w+,2330
453,修容发灰,0.03,1,1560,58w+,2266
454,破坏底妆,0.03,1,1560,58w+,2266
455,陈年黑头,0.03,1,3129,41w+,2263
456,显荧光,0.03,1,3977,19w+,2150
457,包装老土,0.03,1,3977,19w+,2150
458,包装老年,0.03,1,3977,19w+,2150
459,熬夜脸垮,0.03,1,1371,40w+,2090
460,吃身体乳,0.03,1,360,-,2019
461,洗着麻烦,0.03,1,360,-,2019
462,黏黏哒哒,0.03,1,360,-,2019
463,化妆不精致,0.03,1,4487,160w+,1828
464,黑眉,0.03,1,2083,-,1782
465,脸大,0.03,1,5725,110w+,1774
466,脸肉,0.03,1,5725,110w+,1774
467,选错腮红,0.03,1,5725,110w+,1774
468,斑点,0.03,1,3493,88w+,1759
469,小黑眼圈,0.03,1,3493,88w+,1759
470,睫毛往下趴,0.03,1,1218,26w+,1719
471,卡粉开裂,0.03,1,726,29w+,1655
472,上妆卡纹,0.03,1,1787,96w+,1591
473,精华不足,0.03,1,3809,67w+,1548
474,膜布不贴合,0.03,1,3809,67w+,1548
475,脸油脸暗,0.03,1,727,46w+,1497
476,脸黄垮,0.03,1,3021,95w+,1453
477,脸爱冒油,0.03,1,2535,63w+,1439
478,厚重假白,0.03,1,1689,74w+,1359
479,斑位疲态,0.03,1,1689,74w+,1359
480,暗沉黑眼圈,0.03,1,1689,74w+,1359
481,价格小贵,0.03,1,5107,74w+,1358
482,假白像面具,0.03,1,5107,74w+,1358
483,妆感不自然,0.03,1,5107,74w+,1358
484,瑕疵未遮住,0.03,1,5107,74w+,1358
485,手涂太累,0.03,1,2369,32w+,1352
486,不喜欢狐系,0.03,1,4695,120w+,1344
487,粉底液用快,0.03,1,7734,110w+,1323
488,出油蜡黄,0.03,1,687,38w+,1261
489,彩妆难卸,0.03,1,687,38w+,1261
490,防晒难卸,0.03,1,687,38w+,1261
491,面部油脂堆积,0.03,1,687,38w+,1261
492,唇炎,0.03,1,1579,30w+,1234
493,难用吃粉,0.03,1,6277,47w+,1175
494,麻烦,0.03,1,2706,24w+,1144
495,没时间,0.03,1,2706,24w+,1144
496,不立体,0.03,1,1316,24w+,1102
497,拍不开,0.03,1,1316,24w+,1102
498,生硬显脏,0.03,1,1316,24w+,1102
499,线条生硬,0.03,1,1316,24w+,1102
500,粘肤结块,0.03,1,1961,62w+,1054
501,画不好眉形,0.03,1,1961,62w+,1054
502,染眉膏手法难,0.03,1,1961,62w+,1054
503,显脏显土,0.03,1,771,16w+,1041
504,下手重花妆,0.03,1,771,16w+,1041
505,买不到正品,0.03,1,2534,26w+,1039
506,脸上长皱纹,0.03,1,1438,15w+,1016
507,溜溜球球,0.03,1,3251,63w+,1005
508,需补妆,0.03,1,472,-,1000
509,眼纹重,0.03,1,1458,78w+,983
510,眼周缺油,0.03,1,1458,78w+,983
511,眼周长痘,0.03,1,1458,78w+,983
512,眼线断,0.03,1,582,27w+,981
513,眼线易干,0.03,1,582,27w+,981
514,显老气,0.03,1,987,63w+,954
515,戳红,0.03,1,714,57w+,951
516,山寨夹,0.03,1,714,57w+,951
517,厚薄不均,0.03,1,705,26w+,937
518,容易结块,0.03,1,705,26w+,937
519,粉浮表面,0.03,1,705,26w+,937
520,留香不够,0.03,1,647,27w+,927
521,粉状眼影飞粉,0.03,1,1556,-,917
522,口红易掉色,0.03,1,453,29w+,908
523,卡口红,0.03,1,1351,46w+,900
524,嘴巴不得劲,0.03,1,1351,46w+,900
525,卡封面料,0.03,1,491,6.9w+,888
526,卡层卡不进,0.03,1,491,6.9w+,888
527,妆感浓,0.03,1,361,12w+,870
528,厚重压眼,0.03,1,361,12w+,870
529,口红贵,0.03,1,1455,19w+,863
530,眼周小线条,0.03,1,222,16w+,863
531,底妆假白,0.03,1,1821,31w+,862
532,暗沉发灰,0.03,1,1821,31w+,862
533,白得太快,0.03,1,1314,-,857
534,鼻翼卡纹,0.03,1,1314,-,857
535,痘肌,0.03,1,1876,92w+,850
536,快爆浆痘,0.03,1,1876,92w+,850
537,手欠留印,0.03,1,1876,92w+,850
538,不敢摘口罩,0.03,1,1876,92w+,850
539,爱断货有点贵,0.03,1,3280,68w+,845
540,底妆不均匀,0.03,1,118,9.7w+,820
541,底妆无遮瑕,0.03,1,118,9.7w+,820
542,怕唇蜜融底妆,0.03,1,7158,-,788
543,劣质香精,0.03,1,1860,27w+,784
544,刷头不适,0.03,1,552,32w+,778
545,唇油拔干,0.03,1,552,32w+,778
546,唇油沾杯,0.03,1,552,32w+,778
547,整张脸干,0.03,1,1250,18w+,778
548,养唇效果差,0.03,1,552,32w+,778
549,水光膏蹭粉,0.03,1,1250,18w+,778
550,正装偏贵,0.03,1,2846,72w+,775
551,皮肤脏脏,0.03,1,1819,9.9w+,769
552,妆容感违和,0.03,1,2546,43w+,764
553,干燥缺水,0.03,1,318,5.3w+,758
554,年龄大脸老,0.03,1,318,5.3w+,758
555,妆花,0.03,1,634,16w+,748
556,妆斑驳,0.03,1,634,16w+,748
557,沙漠大干皮,0.03,1,2534,-,740
558,出油脏脸,0.03,1,2976,130w+,736
559,脸发泡发肿,0.03,1,1159,21w+,734
560,妆感问题,0.03,1,497,7.8w+,731
561,厚重,0.03,1,964,6.9w+,719
562,干巴,0.03,1,964,6.9w+,719
563,泪沟发灰,0.03,1,964,6.9w+,719
564,补妆,0.03,1,773,13w+,718
565,不安全,0.03,1,773,13w+,718
566,闭口黑头,0.03,1,79,8.3w+,709
567,状态差,0.03,1,1673,62w+,702
568,有括号纹,0.03,1,1673,62w+,702
569,眼部有纹,0.03,1,1673,62w+,702
570,干巴细节,0.03,1,4771,64w+,694
571,面中暗沉,0.03,1,4771,64w+,694
572,小眼睛,0.03,1,3038,72w+,683
573,小袋袋,0.03,1,3038,72w+,683
574,下颌线松,0.03,1,3038,72w+,683
575,眼周垮纹,0.03,1,3038,72w+,683
576,色素沉淀,0.03,1,3038,72w+,683
577,彩妆贵,0.03,1,456,3.9w+,680
578,刷子不好,0.03,1,456,3.9w+,680
